NUM_TURNO;DESCRICAO_CARGO;NOME_CANDIDATO;SEQUENCIAL_CANDIDATO;NUMERO_CANDIDATO;DES_SITUACAO_CANDIDATURA;NUMERO_PARTIDO;SIGLA_PARTIDO;NOME_PARTIDO;DESCRICAO_OCUPACAO;DATA_NASCIMENTO;DESCRICAO_SEXO;DESCRICAO_GRAU_INSTRUCAO;DESC_SIT_TOT_TURNO
1;VICE-PREFEITO;CLICEU ANTUNES PEREIRA;7586;43;DEFERIDO;43;PV;PARTIDO VERDE;PROFESSOR DE ENSINO MÉDIO;27/11/1947;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VICE-PREFEITO;ELISIO EDUARDO MARQUES;12172;50;DEFERIDO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;MAGISTRADO;19/11/1945;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VICE-PREFEITO;JANDIR CZARNECKI MISERKOWSKI;33249;70;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;PUBLICITÁRIO;26/10/1941;MASCULINO;ENSINO MÉDIO INCOMPLETO;#NULO#
1;VICE-PREFEITO;LUCIANO DUCCI;2711;45;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MÉDICO;23/03/1955;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VICE-PREFEITO;MARIO ANTONIO FERRARI;30481;65;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MÉDICO;07/08/1954;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VICE-PREFEITO;VERA HELENA TEIXEIRA;32287;14;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ARQUITETO;12/08/1961;FEMININO;SUPERIOR COMPLETO;#NULO#
1;VEREADOR;ABIGAIL R. SILVA;28237;12002;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PROFESSOR DE ENSINO MÉDIO;27/08/1933;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ABRÃO THOMAS DA SILVA;31647;27888;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;OUTROS;29/03/1962;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
1;VEREADOR;ACYR HAFEZ JOSÉ FILHO;7894;45400;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;EMPRESÁRIO;23/10/1970;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADALBERTO IDELBRANDO KOVALIK TRZASKACZ;7698;13800;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CONTADOR;12/04/1971;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;ADAO MATOZO;26707;17003;RENÚNCIA;17;PSL;PARTIDO SOCIAL LIBERAL;COMERCIANTE;22/03/1969;MASCULINO;ENSINO MÉDIO COMPLETO;#NULO#
1;VEREADOR;ADAO RODRIGUES VIEIRA;7267;40609;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;02/11/1946;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SUPLENTE
1;VEREADOR;ADEL LUIZ YOUSSEF;31650;27789;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;OUTROS;26/12/1960;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;VEREADOR;ADELCIO GOMES;7775;25998;DEFERIDO;25;DEM;DEMOCRATAS;COMERCIANTE;07/02/1962;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ADELCIO LUIZ MARQUES;35846;20333;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ADMINISTRADOR;30/11/1959;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADELINA DIAS DE ARAUJO AVI;7587;43077;DEFERIDO;43;PV;PARTIDO VERDE;ADVOGADO;13/11/1961;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADEMILSON EDSON DOS SANTOS;30482;65065;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;31/12/1970;MASCULINO;SUPERIOR INCOMPLETO;NÃO ELEITO
1;VEREADOR;ADEMIR DE OLIVEIRA BUENO;7895;45845;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SERVIDOR PÚBLICO ESTADUAL;27/11/1958;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADEMIR VOLPATO GESSER;7699;13013;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;DIRETOR DE ESTABELECIMENTO DE ENSINO;19/05/1967;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADENIVAL ALVES GOMES;7700;13611;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;VEREADOR;14/11/1952;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADENOR MANOEL DOS REIS;7701;13200;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CARPINTEIRO, MARCENEIRO E ASSEMELHADOS;23/10/1958;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;ADILSON ALVES LEANDRO;7846;20020;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;OUTROS;31/08/1968;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ADILSON SILVA DOS SANTOS;7847;20613;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PROFESSOR DE ENSINO SUPERIOR;24/08/1963;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ADIRCE NAZARÉ DA SILVA;32288;14222;RENÚNCIA;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);18/06/1946;FEMININO;ENSINO FUNDAMENTAL COMPLETO;#NULO#
1;VEREADOR;ADSON FRANCO CAMPELO;28643;15610;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;COMERCIANTE;15/01/1956;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;AFONSO MAZUR;7702;13456;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;12/07/1950;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;AFONSO SOUZA SOLEK;85;11040;FALECIDO;11;PP;PARTIDO PROGRESSISTA;OUTROS;14/09/1940;MASCULINO;ENSINO MÉDIO COMPLETO;RENÚNCIA/FALECIMENTO/CASSAÇÃO ANTES DA ELEIÇÃO
1;VEREADOR;AGENOR DA SILVA PEREIRA;26709;17970;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;21/11/1974;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;AGOSTINHO CREPLIVE FILHO;7776;25300;DEFERIDO;25;DEM;DEMOCRATAS;OUTROS;19/02/1958;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;AGOSTINHO LOPES SANTANA;26545;23444;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;COMERCIANTE;17/12/1958;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;AIRTON MOREIRA DINIZ;33306;22630;INDEFERIDO;22;PR;PARTIDO DA REPÚBLICA;VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS;14/07/1955;MASCULINO;ENSINO MÉDIO COMPLETO;#NULO#
1;VEREADOR;AIRTON SPECK;7588;43188;DEFERIDO;43;PV;PARTIDO VERDE;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);27/04/1953;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALADIM LUCIANO;7589;43333;DEFERIDO;43;PV;PARTIDO VERDE;VEREADOR;10/10/1946;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;ELEITO
1;VEREADOR;ALCEU BAPTISTA DE CAMPOS;7703;31333;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;SERVIDOR PÚBLICO MUNICIPAL;14/02/1965;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALCIMAR CICERO ARRUDA;26547;23007;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;14/02/1967;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALCIONE CARATCHUK;26711;17025;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;OUTROS;25/05/1971;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALDEMIR JOAO MANFRON;86;11234;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;VEREADOR;23/07/1952;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;ELEITO
1;VEREADOR;ALEIDA BITTENCOURT MARTINS;22053;10610;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;ADVOGADO;19/08/1954;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALESSANDRA SCHLEDER;26549;23203;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;PROFESSOR DE ENSINO MÉDIO;20/04/1976;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALESSANDRO ADELINO OTTO;7704;13513;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS;03/09/1974;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALEX GOMES DE OLIVEIRA;26713;17555;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;15/09/1967;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALEX SANDRO PRESTES;22056;10987;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;OUTROS;15/11/1981;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;ALEX WINGERT CORREA;26551;23033;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;06/07/1974;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALEXANDRE JOSÉ ALBUQUERQUE BAHL;7848;20100;RENÚNCIA;20;PSC;PARTIDO SOCIAL CRISTÃO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;05/02/1981;MASCULINO;SUPERIOR INCOMPLETO;#NULO#
1;VEREADOR;ALEXANDRE MATIAS GARDOLINSKI;34533;28008;RENÚNCIA;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ASSISTENTE SOCIAL;21/09/1971;MASCULINO;ENSINO MÉDIO INCOMPLETO;#NULO#
1;VEREADOR;ALEXANDRE RIBEIRO DOMINGUES;22059;10100;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;OUTROS;12/02/1983;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALFEO LUIZ CAPPELLARI;7705;13511;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PROFESSOR DE ENSINO MÉDIO;22/04/1958;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALFREDO GONEVINO COSTA FILHO;32289;14141;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;ADVOGADO;29/05/1956;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;VEREADOR;ALFREDO HELITON DE LEMOS;7849;20200;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;MÉDICO;13/02/1942;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALGACI ORMARIO TULIO;28644;15140;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;JORNALISTA E REDATOR;08/12/1940;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO
1;VEREADOR;ALGACIR MILTON OZIR RIBEIRO;26715;17190;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;SERVIDOR PÚBLICO ESTADUAL;09/12/1968;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;ALICINO SARAIVA;7268;40656;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;OUTROS;25/06/1957;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ALISTELIA GONÇALVES DOS SANTOS;28645;15255;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;PROFESSOR DE ENSINO FUNDAMENTAL;25/09/1964;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALTAIR DEZONET ATHAYDE;26553;23315;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;COMERCIANTE;22/07/1957;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;ALTAIR RODRIGUES;32290;28320;RENÚNCIA;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;EMPRESÁRIO;28/07/1953;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;#NULO#
1;VEREADOR;ALTAMIR MARTINS ALVES;7454;33221;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;08/03/1958;MASCULINO;SUPERIOR INCOMPLETO;NÃO ELEITO
1;VEREADOR;ALTEMIR GILSON MARINHO;7777;25880;DEFERIDO;25;DEM;DEMOCRATAS;ADMINISTRADOR;18/07/1961;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALUS NATAL ALESSI;87;11211;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;ADVOGADO;16/12/1948;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALVARO JOSÉ BATISTA;28238;12292;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES;07/09/1957;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ALZIMARA CABREIRA FRAGA BACELLAR;28646;15202;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;SERVIDOR PÚBLICO ESTADUAL;01/09/1956;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;AMABILON DALCOMUNI;26554;23045;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;ADVOGADO;17/07/1960;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;AMADEU LUIZ DE MIO GEARA;7590;43222;DEFERIDO;43;PV;PARTIDO VERDE;ADVOGADO;20/04/1940;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;AMAURI DE JESUS PEREIRA;31652;27000;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;EMPRESÁRIO;05/04/1963;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
1;VEREADOR;AMILTON ANTUNES DE OLIVEIRA;7591;43030;DEFERIDO;43;PV;PARTIDO VERDE;TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO;21/12/1966;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANA CAROLINA LEINIG SELEME KEHRIG;7592;43123;DEFERIDO;43;PV;PARTIDO VERDE;SERVIDOR PÚBLICO FEDERAL;20/01/1982;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANA CRISTINA DE SOUZA POLICARPO;7269;40077;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;AGENTE DE SAÚDE E SANITARISTA;18/08/1966;FEMININO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
1;VEREADOR;ANA MARIA INÁCIO LÚCIO;7270;40772;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;AGENTE DE SAÚDE E SANITARISTA;17/03/1951;FEMININO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;ANA PAULA MORAES BADARO RUIZ;7778;25500;DEFERIDO;25;DEM;DEMOCRATAS;DIRETOR DE ESTABELECIMENTO DE ENSINO;12/07/1971;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANA REGINA DE CARVALHO PINTO;7271;40255;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;OUTROS;05/02/1970;FEMININO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANA TERESA MORAES DOS SANTOS;7456;33633;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;EMPRESÁRIO;22/12/1949;FEMININO;SUPERIOR COMPLETO;NÃO ELEITO
1;VEREADOR;ANATÓLIO NOVAES DA SILVA;28240;12136;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;CANTOR E COMPOSITOR;28/06/1939;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANDRE GERONIMO LAZAROTTO;7896;45789;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;EMPRESÁRIO;10/01/1961;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;ANDRE GIRARDI;34157;12020;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;04/06/1988;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
1;VEREADOR;ANDRE RAPHY PARUCKER E SILVA FRITZ;33250;70070;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;16/05/1986;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
1;VEREADOR;ANDRÁS KAROLY VÖRÖS;7593;43000;DEFERIDO;43;PV;PARTIDO VERDE;PROFESSOR DE ENSINO MÉDIO;10/01/1950;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANDRÉ LUIZ MACIAS;30483;65021;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;EMPRESÁRIO;21/04/1978;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;VEREADOR;ANGELA AMARO ESTEVAM LOPES;28242;12171;RENÚNCIA;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SERVIDOR PÚBLICO MUNICIPAL;04/12/1967;FEMININO;ENSINO MÉDIO COMPLETO;#NULO#
1;VEREADOR;ANGELA MARIA FLORES CORREA;26555;23330;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;26/11/1960;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANGELO BATISTA;88;11111;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;VEREADOR;31/01/1949;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANSELMO MOCHI;28239;12360;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;ECONOMISTA;05/12/1967;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO ATILIO GOMES;28647;15106;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;SERVIDOR PÚBLICO ESTADUAL;10/06/1949;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO BRASIL DOS SANTOS;7897;45688;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;EMPRESÁRIO;14/05/1949;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO CARLO TOCCAFONDO;7458;33999;RENÚNCIA;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;EMPRESÁRIO;01/01/1961;MASCULINO;SUPERIOR COMPLETO;#NULO#
1;VEREADOR;ANTONIO CARLOS DA SILVA;7850;20720;RENÚNCIA;20;PSC;PARTIDO SOCIAL CRISTÃO;CANTOR E COMPOSITOR;13/09/1975;MASCULINO;ENSINO MÉDIO INCOMPLETO;#NULO#
1;VEREADOR;ANTONIO CARLOS DA SILVA FIGUEIREDO;7594;43200;DEFERIDO;43;PV;PARTIDO VERDE;OUTROS;13/06/1951;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO CARLOS DO CARMO;28244;12300;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;SERVIDOR PÚBLICO MUNICIPAL;25/04/1963;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO CARLOS DO NASCIMENTO;7595;43011;DEFERIDO;43;PV;PARTIDO VERDE;VETERINÁRIO;19/08/1951;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO CARLOS MAGNO;7851;20515;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;EMPRESÁRIO;05/02/1960;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO DE SOUZA;26717;17657;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;COMERCIANTE;15/06/1957;MASCULINO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
1;VEREADOR;ANTONIO KAMISIMA;7779;25613;DEFERIDO;25;DEM;DEMOCRATAS;COMERCIANTE;13/06/1966;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO LOURIVAL MELINK;28246;19019;DEFERIDO;19;PTN;PARTIDO TRABALHISTA NACIONAL;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;18/06/1959;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
1;VEREADOR;ANTONIO MAURÍCIO BUENO;22064;10999;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;COMERCIANTE;13/08/1957;MASCULINO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
1;VEREADOR;ANTONIO NERY RODRIGUES DA SILVA;7460;33003;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;COMERCIANTE;26/05/1968;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;NÃO ELEITO
1;VEREADOR;ANTONIO PIRES SANTOS;7706;13055;INDEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;INDUSTRIAL;10/05/1962;MASCULINO;ENSINO MÉDIO COMPLETO;#NULO#
1;VEREADOR;ANTONIO PROCOPIAK NETO;31654;27027;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;OUTROS;23/11/1961;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
1;VEREADOR;ANTONIO ROBERTO FILHO;26960;17313;RENÚNCIA;17;PSL;PARTIDO SOCIAL LIBERAL;SERVIDOR PÚBLICO ESTADUAL;13/10/1945;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;#NULO#
1;VEREADOR;ANÍSIO LUIZ MOHR;7272;40555;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;ADMINISTRADOR;29/09/1955;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
1;VEREADOR;APARECIDA NEIDE VIEIRA MOTA;89;11345;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;OUTROS;17/10/1960;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
1;VEREADOR;APARECIDO CUSTÓDIO DA SILVA;21010;22660;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;VEREADOR;01/04/1957;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
