NM_UE;NR_CANDIDATO;NM_CANDIDATO;DS_SITUACAO_CANDIDATURA;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;DS_SIT_TOT_TURNO
CURITIBA;18156;FABIO RODRIGO DE JESUS;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;26/10/1980 00:00;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;SUPLENTE
CURITIBA;22010;PAULO FRANCISCO COELHO SOARES;APTO;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;06/04/1963 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;MÉDICO;SUPLENTE
CURITIBA;12862;ELOIZIO ZANARDI;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;02/08/1962 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;22699;FABIO AUGUSTO WOTKOSKI;APTO;DEFERIDO;COLIGAÇÃO;22;PR;PARTIDO DA REPÚBLICA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;10/12/1975 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;14444;ELISIANA PAES LEITE;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;07/09/1975 00:00;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;PEDAGOGO;SUPLENTE
CURITIBA;12021;SOLANGE SANTIAGO;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;07/12/1959 00:00;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;OUTROS;SUPLENTE
CURITIBA;44744;EZEQUIAS DE SOUZA BARROS;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;25/07/1963 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;ELEITO POR QP
CURITIBA;18015;PRISCILA RITA ROCHA BANASZEWSKI;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;15/03/1985 00:00;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;11222;MARIA ISABEL CARREIRA;APTO;DEFERIDO;COLIGAÇÃO;11;PP;PARTIDO PROGRESSISTA;VEREADORES RENOVA CURITIBA;PP / PR / PMB;12/04/1948 00:00;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;OUTROS;SUPLENTE
CURITIBA;43450;HELIA SANTOS DE OLIVEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;04/03/1959 00:00;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);PARDA;SERVIDOR PÚBLICO ESTADUAL;SUPLENTE
CURITIBA;28864;LYZIANE PAULINA DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;13/06/1990 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);PRETA;OUTROS;NÃO ELEITO
CURITIBA;55177;SANDRA ELISA DA COSTA ARAUJO;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;28/05/1966 00:00;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADMINISTRADOR;SUPLENTE
CURITIBA;20100;TIAGO AUGUSTO GEVERT;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;09/04/1986 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;VEREADOR;SUPLENTE
CURITIBA;70222;DORVALINO MANOEL PINTO;APTO;DEFERIDO;COLIGAÇÃO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;Curitiba melhor;PSDB / PT do B;04/08/1955 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;GERENTE;SUPLENTE
CURITIBA;77153;JOSE CARLOS DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;04/07/1966 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;SERVIDOR PÚBLICO MUNICIPAL;SUPLENTE
CURITIBA;23728;SUELI COSTA ROSA;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;27/06/1960 00:00;FEMININO;ENSINO MÉDIO COMPLETO;VIÚVO(A);PRETA;GERENTE;SUPLENTE
CURITIBA;40034;ANA MARIA INACIO LUCIO;APTO;DEFERIDO;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;CURITIBA, INOVAÇÃO E AMOR - PMN - PSB  e DEM;PMN / PSB / DEM;17/03/1951 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AGENTE DE SAÚDE E SANITARISTA;SUPLENTE
CURITIBA;23059;WALDEIR GARCIA DE SOUZA;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;05/09/1963 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;44007;ROSA OLIVEIRA DA SILVA LEME;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;30/05/1965 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;23024;MARIA ROSELENA PETRINI DE MACEDO;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;11/12/1960 00:00;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;GERENTE;SUPLENTE
CURITIBA;43123;ANDERSON TEIXEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;06/05/1977 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;SUPLENTE
CURITIBA;19000;CARLOS MAURO BOBATO;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;03/05/1971 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;ELEITO POR QP
CURITIBA;20920;ROGÉRIO CAMPOS;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;18/07/1978 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;VEREADOR;ELEITO POR QP
CURITIBA;44644;EDSON LUIZ FERREIRA DA CRUZ;APTO;DEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;31/12/1965 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;EMPRESÁRIO;SUPLENTE
CURITIBA;70123;ANTONIO PEREIRA JUSTINO;APTO;DEFERIDO;COLIGAÇÃO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;Curitiba melhor;PSDB / PT do B;26/08/1963 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;VIGILANTE;SUPLENTE
CURITIBA;77705;ANALISE BLANCKENBURG ALVES;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;26/06/1941 00:00;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;36166;VICTOR VERAN TRISTÃO;APTO;DEFERIDO;COLIGAÇÃO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CURITIBA MAIS FORTE;PTC / PPL / PC do B;16/06/1996 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;NÃO ELEITO
CURITIBA;31279;ELIANE DE FATIMA SCHIEBEL;APTO;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;19/12/1969 00:00;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;BRANCA;POLICIAL MILITAR;NÃO ELEITO
CURITIBA;51435;LUCILEIA DE ANDRADE;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;20/03/1981 00:00;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;OUTROS;NÃO ELEITO
CURITIBA;45100;ISAAC DE OLIVEIRA;APTO;DEFERIDO;COLIGAÇÃO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;Curitiba melhor;PSDB / PT do B;30/08/1967 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ASSISTENTE SOCIAL;SUPLENTE
CURITIBA;15333;JORGE AUGUSTO KRUGER;APTO;DEFERIDO;COLIGAÇÃO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;18/07/1973 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;SUPLENTE
CURITIBA;43147;FLÁVIO CARLOS DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;43;PV;PARTIDO VERDE;PARTIDO ISOLADO;PV;12/05/1968 00:00;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;20018;MARIA GORETI MILITÃO TEIXEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;16/07/1960 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;SUPLENTE
CURITIBA;12123;JOSÉ AUGUSTO TULIO FILHO;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;07/11/1975 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;27007;JOEL POMPEU;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;18/07/1973 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SUPLENTE
CURITIBA;40041;CARLOS EDUARDO DE OLIVEIRA BRASIL;APTO;DEFERIDO;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;CURITIBA, INOVAÇÃO E AMOR - PMN - PSB  e DEM;PMN / PSB / DEM;29/03/1956 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;27827;JOSÉ RENATO SIENO GORSKI;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;27/04/1964 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;SUPLENTE
CURITIBA;55021;MARIA FERNANDA BRUNI;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;16/10/1968 00:00;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;SUPLENTE
CURITIBA;44994;EDITE CORREA ARRUDA;INAPTO;INDEFERIDO;PARTIDO ISOLADO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PARTIDO ISOLADO;PRP;03/07/1959 00:00;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;NÃO ELEITO
CURITIBA;19040;CLAUDIO JUSTINO SPANHOL;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;09/03/1960 00:00;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ODONTÓLOGO;SUPLENTE
CURITIBA;18123;ANA VALERIA HOFFMANN BATISTA;APTO;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;CURITIBA JUSTA E SUSTENTAVEL;PMDB / REDE;13/09/1970 00:00;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;SUPLENTE
CURITIBA;45777;MIRIAN DE GODOY BUENO SENEGAGLIA;APTO;DEFERIDO;COLIGAÇÃO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;Curitiba melhor;PSDB / PT do B;27/09/1969 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;CANTOR E COMPOSITOR;SUPLENTE
CURITIBA;90416;JOSÉ NORONHA NETO;APTO;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;PROS;16/04/1958 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;REPRESENTANTE COMERCIAL;SUPLENTE
CURITIBA;28877;LUIZ ANTONIO RIBAS;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;23/08/1962 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;NÃO ELEITO
CURITIBA;28777;LUCIANO ROBERTO DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;09/04/1977 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;NÃO ELEITO
CURITIBA;17017;WEIGLISON MARK LAGO LEAL;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;11/04/1980 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;NÃO ELEITO
CURITIBA;14300;OSNI SOUZA DE OLIVEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;01/11/1970 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;ELETRICISTA E ASSEMELHADOS;SUPLENTE
CURITIBA;77880;JOZELIA RAUPP;APTO;DEFERIDO;PARTIDO ISOLADO;77;SD;SOLIDARIEDADE;PARTIDO ISOLADO;SD;19/03/1973 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;12;PAULO SALAMUNI;APTO;DEFERIDO;COLIGAÇÃO;43;PV;PARTIDO VERDE;CURITIBA SEGUE EM FRENTE;PDT / PV / PTB / PRB / PPS;24/10/1960 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;VEREADOR;NÃO ELEITO
CURITIBA;20001;GUSTAVO DE SANTA CRUZ ARRUDA;APTO;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;PSC;19/10/1977 00:00;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;SUPLENTE
CURITIBA;27227;ROSENEI APARECIDA DE OLIVEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;06/08/1972 00:00;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AGENTE ADMINISTRATIVO;SUPLENTE
CURITIBA;31110;EDIVALDO ALVES DE MOURA;APTO;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;PHS;10/11/1960 00:00;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;COMERCIANTE;NÃO ELEITO
CURITIBA;27047;LILIANE SILVA SOARES;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;14/11/1980 00:00;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;14011;JEFFERSON FERREIRA DA SILVA;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;17/04/1983 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;COMERCIANTE;SUPLENTE
CURITIBA;12710;EDUARDO JOSÉ FERRAZ;APTO;DEFERIDO;COLIGAÇÃO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PDT-PRB;PDT / PRB;13/04/1984 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;SUPLENTE
CURITIBA;19400;JONAS DE ANDRADE LEPRE;APTO;DEFERIDO;PARTIDO ISOLADO;19;PTN;PARTIDO TRABALHISTA NACIONAL;PARTIDO ISOLADO;PTN;19/11/1973 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;27077;JOAO ISRAEL BUENO;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;08/02/1966 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;MASSAGISTA;SUPLENTE
CURITIBA;27013;MARIANGELA RAVANELLO NOGUEIRA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;11/12/1980 00:00;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;SUPLENTE
CURITIBA;51012;ANTONIO JOSÉ PINHEIRO;APTO;DEFERIDO;PARTIDO ISOLADO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;PARTIDO ISOLADO;PEN;15/06/1954 00:00;MASCULINO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;ADVOGADO;NÃO ELEITO
CURITIBA;55190;FILIPE AUGUSTO RAYSER RECALCATTI;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;09/10/1986 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;40234;CARLOS FERNANDES FERREIRA;APTO;DEFERIDO;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;CURITIBA, INOVAÇÃO E AMOR - PMN - PSB  e DEM;PMN / PSB / DEM;21/09/1958 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;SUPLENTE
CURITIBA;23144;EDISON LUIZ DOS REIS;APTO;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;PPS;21/02/1953 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;OCEANÓGRAFO;SUPLENTE
CURITIBA;17157;JOSUE DAVI DOS SANTOS;APTO;DEFERIDO;PARTIDO ISOLADO;17;PSL;PARTIDO SOCIAL LIBERAL;PARTIDO ISOLADO;PSL;15/11/1972 00:00;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;NÃO ELEITO
CURITIBA;14333;GEOVANE ALVES FERNANDES;APTO;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PTB;26/12/1963 00:00;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;VEREADOR;ELEITO POR MÉDIA
CURITIBA;28077;SIDNEI BUTTINE;APTO;DEFERIDO;PARTIDO ISOLADO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;PRTB;07/07/1946 00:00;MASCULINO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;COMERCIANTE;NÃO ELEITO
CURITIBA;55123;MARCELO HAGEBOCK GUIMARÃES;APTO;DEFERIDO;PARTIDO ISOLADO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PARTIDO ISOLADO;PSD;19/10/1984 00:00;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;SUPLENTE
CURITIBA;27024;APARECIDA CARLOTA;APTO;DEFERIDO;PARTIDO ISOLADO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PARTIDO ISOLADO;PSDC;05/05/1964 00:00;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PRETA;DONA DE CASA;SUPLENTE
