NUMERO_ZONA;CODIGO_CARGO;NUMERO_CAND;SQ_CANDIDATO;NOME_CANDIDATO;NOME_URNA_CANDIDATO;DESCRICAO_CARGO;COD_SIT_CAND_SUPERIOR;DESC_SIT_CAND_SUPERIOR;CODIGO_SIT_CANDIDATO;DESC_SIT_CANDIDATO;CODIGO_SIT_CAND_TOT;DESC_SIT_CAND_TOT;NUMERO_PARTIDO;SIGLA_PARTIDO;NOME_PARTIDO;SEQUENCIAL_LEGENDA;NOME_COLIGACAO;COMPOSICAO_LEGENDA;TOTAL_VOTOS
145;13;20130;1,6E+11;BRUNO EDUARDO FISCHER PESSUTI;BRUNO PESSUTI;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;1055
3;13;14222;1,6E+11;JORGE BATISTA LEME;JORJÃO DO POVÃO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;4
3;13;50123;1,6E+11;THIAGO DE SOUSA BAGATIN;THIAGO BAGATIN;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;72
4;13;44775;1,6E+11;CLAUDEMIR ALVES DE OLIVEIRA;TUCA ALVES;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;4
4;13;12013;1,6E+11;IRENE DO ROCIO DE ALMEIDA;PROFESSORA IRENE;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;1,6E+11;PDT/PT/PV;PDT / PT / PV;290
145;13;50050;1,6E+11;JOSE JUVANCI DA SILVA;JUVANCI;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;18
176;13;20777;1,6E+11;ESPERANÇA MINERVINI ROMERO FONTES GOMES;ESPERANÇA MINERVINI;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;144
177;13;17212;1,6E+11;MARCOS ROBERTO TIMOTIO;BETO HONDA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;29
174;13;17223;1,6E+11;JAIR DORCELINO DA CONCEIÇÃO;JAJA PRA MELHORA CORNETEIRO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;25
145;13;36040;1,6E+11;RUTE BRAVO DOS SANTOS DA SILVA;RUTE BRAVO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;1,6E+11;CURITIBA MAIS FORTE;PTN / PTC;2
145;13;23012;1,6E+11;CLAUDIO CARDOSO DA SILVA;CLAUDIO CARDOSO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;11
178;13;22122;1,6E+11;JOSAFA LIBERAL DA SILVA;JOSAFA LIBERAL;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;20
177;13;14600;1,6E+11;EDSON LUIZ PEREIRA;EDSON TAKINHO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;60
4;13;22122;1,6E+11;JOSAFA LIBERAL DA SILVA;JOSAFA LIBERAL;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;26
176;13;22122;1,6E+11;JOSAFA LIBERAL DA SILVA;JOSAFA LIBERAL;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;16
3;13;11444;1,6E+11;MAURICIO DANIEL COSTA;COSTA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;20
2;13;11666;1,6E+11;LOURIVAL BATISTA;BATISTA COBRADOR;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;11
176;13;11011;1,6E+11;ÁLVARO NICOLI JUNIOR;ALVARO NICOLI;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;6
178;13;13000;1,6E+11;JONNY MAGALHÃES STICA;JONNY STICA;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;605
176;13;23190;1,6E+11;LUIZ CARLOS DE LIMA;POLICIAL CARLOS LIMA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;50
176;13;23000;1,6E+11;DIOGO NASCIMENTO BUSSE;DIOGO BUSSE;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;145
145;13;13130;1,6E+11;ANDRE CASTELO BRANCO MACHADO;ANDRE MACHADO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;136
177;13;20180;1,6E+11;JOÃO FLAUSINO DIAS;LINGUIÇA DO CIRCO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;29
2;13;20024;1,6E+11;CARLOS ANDRE SILVA TAMEZ;CARLOS ANDRÉ;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;101
174;13;43043;1,6E+11;PAULO SALAMUNI;PAULO SALAMUNI;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;43;PV;PARTIDO VERDE;1,6E+11;PDT/PT/PV;PDT / PT / PV;267
3;13;27012;1,6E+11;JOSÉ NEY DA SILVA;FAÍSCA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;4
174;13;27456;1,6E+11;CARLOS ROBERTO CARNEIRO;CARLOS CARNEIRO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;32
177;13;27111;1,6E+11;SANDRO FERREIRA MARTINS;O SANDRINHO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;8
174;13;23190;1,6E+11;LUIZ CARLOS DE LIMA;POLICIAL CARLOS LIMA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;191
174;13;22210;1,6E+11;MARCELO LIMA BARBOSA;MARCELO BARBOSA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;22;PR;PARTIDO DA REPÚBLICA;1,6E+11;INOVA CURITIBA;PR / PC do B;3
3;13;20456;1,6E+11;JESSE ALVES CORDEIRO;JESSÉ CORDEIRO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;596
176;13;11123;1,6E+11;FRANCISCO MOREIRA DE LIMA JUNIOR;MOREIRA JUNIOR;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;12
174;13;70077;1,6E+11;DIONISIO JOAO WINIARSKI;DINO DAGUA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;1
1;13;14567;1,6E+11;THADEU VELOSO MARIA;VERMELHO FILHO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;439
4;13;36521;1,6E+11;VALDEMIR ADRIANO SANTI;VALDEMIR SANTI;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;1,6E+11;CURITIBA MAIS FORTE;PTN / PTC;3
2;13;36001;1,6E+11;ANTONIO NEGRAO;TONINHO DO CAXIMBA;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;1,6E+11;CURITIBA MAIS FORTE;PTN / PTC;1
178;13;23123;1,6E+11;HELIO RENATO WIRBISKI;HELIO WIRBISKI;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;211
1;13;45888;1,6E+11;JORGE YAMAWAKI;JORGE YAMAWAKI;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;685
176;13;45145;1,6E+11;FRANCISCO CARLOS DOS SANTOS GARCEZ;FRANCISCO GARCEZ;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;63
1;13;12000;1,6E+11;JORGE LUIZ BERNARDI;JORGE BERNARDI;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;1,6E+11;PDT/PT/PV;PDT / PT / PV;791
2;13;11669;1,6E+11;RICARDO DE OLIVEIRA MELLO;GOI MELLO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;553
174;13;11669;1,6E+11;RICARDO DE OLIVEIRA MELLO;GOI MELLO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;398
175;13;11610;1,6E+11;VANDUIR RODRIGUES MUNIZ;VANDO MUNIZ;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;11;PP;PARTIDO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PP;2
3;13;13535;1,6E+11;PAULO HENRIQUE PAES DE SOUZA;PAULO SOUZA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;20
176;13;13535;1,6E+11;PAULO HENRIQUE PAES DE SOUZA;PAULO SOUZA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;8
177;13;13535;1,6E+11;PAULO HENRIQUE PAES DE SOUZA;PAULO SOUZA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;13
145;13;12001;1,6E+11;RAUL ALCÂNTARA DE SOUZA;RAUL ALCÂNTARA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;1,6E+11;PDT/PT/PV;PDT / PT / PV;56
177;13;12001;1,6E+11;RAUL ALCÂNTARA DE SOUZA;RAUL ALCÂNTARA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;1,6E+11;PDT/PT/PV;PDT / PT / PV;177
1;13;20500;1,6E+11;NAPOLEAO DE VASCONCELOS;NAPOLEAO VASCONCELOS;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;82
145;13;70777;1,6E+11;JORGE LUIZ JACQUES NUNES;JJ DA NOSSA CAUMA BRASIL;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;6
175;13;65131;1,6E+11;ELZA MARIA CAMPOS;ELZA CAMPOS;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;1,6E+11;INOVA CURITIBA;PR / PC do B;45
177;13;50069;1,6E+11;XÊNIA KAROLINE MELLO;XENIA MELLO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;158
178;13;50100;1,6E+11;WAGNER TAUSCHECK;WAGNER PSOL;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;17
175;13;20321;1,6E+11;CELIO ANDRADE DA SILVA;CELIO ANDRADE;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;23
3;13;20999;1,6E+11;AFONSO BERNARDO SCHLEDER DE MACEDO;AFONSO MACEDO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;36
175;13;20069;1,6E+11;JULIO CESAR SOBOTA;JULIÃO SOBOTA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;262
3;13;20007;1,6E+11;CARLA CRISTIANA DE CARVALHO;CARLA CRISTIANA PIMENTEL;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;464
145;13;15007;1,6E+11;NOEMIA DE SOUZA E SILVA ALVES ROCHA;NOEMIA ROCHA;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PMDB;1475
176;13;36777;1,6E+11;PAULO SILVA DE MACEDO;PAULO DE MACEDO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;1,6E+11;CURITIBA MAIS FORTE;PTN / PTC;1
178;13;27001;1,6E+11;CARLOS ROBERTO MISCOLI;CARLOS MISCCOLI;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;52
174;13;27970;1,6E+11;AGENOR DA SILVA PEREIRA;CACÁ PEREIRA;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;83
178;13;45123;1,6E+11;MIRIAM BARBOSA E SILVA DE LIMA;MIRIAM LIMA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;9
177;13;44612;1,6E+11;ANTONIO MARCOS COELHO;COELHO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;5
175;13;20234;1,6E+11;HELIO NUNES DE OLIVEIRA;HELIO NUNES;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;248
175;13;44000;1,6E+11;JOSÉ RIBEIRO DE LIMA;ZÉ RIBEIRO;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;1,6E+11;PARTIDO ISOLADO;PRP;0
178;13;70013;1,6E+11;AMINE CAROLINE PARUCKER E SILVA FRITZ;AMINE PARUCKER;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;11
174;13;17999;1,6E+11;PAULO MEIRA LIMA;PAULO MEIRA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;9
145;13;13444;1,6E+11;JOICE LUIS GRAMINHO;JOICE GRAMINHO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;189
176;13;55000;1,6E+11;CELSO TORQUATO;CELSO TORQUATO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;1058
2;13;50027;1,6E+11;CHRISTIANE ELIZABETH RIGHETTO;CHRISTIANE;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;1,6E+11;PARTIDO ISOLADO;PSOL;39
1;13;17007;1,6E+11;PERCY CORDEIRO DOS SANTOS;PERCY DO UBERABA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;5
174;13;17111;1,6E+11;ISAIAS PEREIRA DA SILVA;MAESTRO ISAIAS;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;17;PSL;PARTIDO SOCIAL LIBERAL;1,6E+11;PARTIDO ISOLADO;PSL;926
4;13;14222;1,6E+11;JORGE BATISTA LEME;JORJÃO DO POVÃO;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;121
3;13;13131;1,6E+11;VITORIO SOROTIUK;VITORIO SOROTIUK;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;150
4;13;13285;1,6E+11;SESOSTRIS FILIPE ARMSTRONG OLIVEIRA;SESÓSTRIS;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;13;PT;PARTIDO DOS TRABALHADORES;1,6E+11;PDT/PT/PV;PDT / PT / PV;46
145;13;20007;1,6E+11;CARLA CRISTIANA DE CARVALHO;CARLA CRISTIANA PIMENTEL;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;20;PSC;PARTIDO SOCIAL CRISTÃO;1,6E+11;CURITIBA NOVAS IDEIAS;PSC / PT do B;999
145;13;14555;1,6E+11;AFONSO CELSO RANGEL SANTOS;AFONSO RANGEL;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;40
176;13;14333;1,6E+11;GEOVANE ALVES FERNANDES;GEOVANE FERNANDES;VEREADOR;12;APTO;2;DEFERIDO;3;ELEITO POR MÉDIA;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;1,6E+11;PARTIDO ISOLADO;PTB;96
3;13;43143;1,6E+11;EDSON LUIZ FERREIRA DA CRUZ;EDSON DA ACADEMIA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;43;PV;PARTIDO VERDE;1,6E+11;PDT/PT/PV;PDT / PT / PV;122
178;13;36036;1,6E+11;MAURICIO BERALDI;MAURICIO BERALDI;VEREADOR;12;APTO;2;DEFERIDO;4;NÃO ELEITO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;1,6E+11;CURITIBA MAIS FORTE;PTN / PTC;1
4;13;27047;1,6E+11;TANIA REGINA GOMES;TANIA DA CIC;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;1,6E+11;PARTIDO ISOLADO;PSDC;8
176;13;23523;1,6E+11;OSVALDO TEODORO BORN;OSVALDO BORN;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;10
177;13;45678;1,6E+11;SERGIO RENATO BUENO BALAGUER;SERGINHO DO POSTO;VEREADOR;12;APTO;2;DEFERIDO;2;ELEITO POR QP;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;390
145;13;45123;1,6E+11;MIRIAM BARBOSA E SILVA DE LIMA;MIRIAM LIMA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1,6E+11;UNIDOS POR CURITIBA;PRB / DEM / PHS / PMN / PSB / PSDB / PSD;95
1;13;23125;1,6E+11;FRANCISCO GILSONIR MOREIRA;FRANCISCO MOREIRA;VEREADOR;12;APTO;2;DEFERIDO;5;SUPLENTE;23;PPS;PARTIDO POPULAR SOCIALISTA;1,6E+11;PARTIDO ISOLADO;PPS;284
